add,100000,ArithLog,Register        
addu,100001,ArithLog,Register     
addi,001000,ArithLogI,Immediate   
addiu,001001,ArithLogI,Immediate  
and,100100,ArithLog,Register      
andi,001100,ArithLogI,Immediate   
div,011010,DivMult,Register       
divu,011011,DivMult,Register      
mult,011000,DivMult,Register        
multu,011001,DivMult,Register       
nor,100111,ArithLog,Register        
or,100101,ArithLog,Register         
ori,001101,ArithLogI,Immediate      
lui,001111,LoadStore,Immediate      
sll,000000,Shift,Register           
sllv,000100,ShiftV,Register         
sra,000011,Shift,Register           
srav,000111,ShiftV,Register         
srl,000010,Shift,Register           
srlv,000110,ShiftV,Register         
sub,100010,ArithLog,Register        
subu,100011,ArithLog,Register       
xor,100110,ArithLog,Register        
xori,001110,ArithLogI,Immediate     
slt,101010,ArithLog,Register        
sltu,101001,ArithLog,Register       
slti,001010,ArithLogI,Immediate     
sltiu,001011,ArithLogI,Immediate    
beq,000100,Branch,Immediate         
bne,000101,Branch,Immediate         
j,000010,Jump,Jump                  
jal,000011,Jump,Jump                
jr,001000,JumpR,Register            
lb,100000,LoadStore,Immediate       
lbu,100100,LoadStore,Immediate      
lh,100001,LoadStore,Immediate       
lhu,100101,LoadStore,Immediate      
lw,100011,LoadStore,Immediate       
sb,101000,LoadStore,Immediate       
sh,101001,LoadStore,Immediate       
sw,101011,LoadStore,Immediate       
mfhi,010000,MoveFrom,Register       
mflo,010010,MoveFrom,Register       